source,neighborhood,price,covered_m2,ambientes,bedrooms,url,captured_at,price_per_m2
mercadolibre,Agronomía,132800.0,44.0,2,,https://departamento.mercadolibre.com.ar/MLA-3727537632-edificio-brooklin-2-ambientes-en-agronomia-villa-del-parque-_JM,2026-09-16 21:47:36.885386+00:00,3018
mercadolibre,Agronomía,118650.0,48.0,2,,https://departamento.mercadolibre.com.ar/MLA-1948785827-nuevo-emprendimiento-de-pozo-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2472
mercadolibre,Agronomía,125000.0,43.0,1,,https://departamento.mercadolibre.com.ar/MLA-3727515110-departamento-monoambiente-uso-particular-apto-profesional-a-estrenar-con-amenities-villa-del-parqu-_JM,2026-09-16 21:47:36.885386+00:00,2907
mercadolibre,Agronomía,64500.0,29.0,1,,https://departamento.mercadolibre.com.ar/MLA-1951632833-monoambiente-7-x-3-contrafrente-frente-a-la-facultad-de-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2224
mercadolibre,Agronomía,103000.0,52.0,3,,https://departamento.mercadolibre.com.ar/MLA-2094770365-departamento-de-tres-ambientes-en-venta-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1981
mercadolibre,Agronomía,90000.0,48.0,2,,https://departamento.mercadolibre.com.ar/MLA-3954540228-2-ambientes-con-patio-descubierto-de-uso-exclusivo-y-cochera-_JM,2026-09-16 21:47:36.885386+00:00,1875
mercadolibre,Agronomía,149000.0,52.0,3,,https://departamento.mercadolibre.com.ar/MLA-3824735890-departamento-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2865
mercadolibre,Agronomía,300000.0,145.0,4,,https://departamento.mercadolibre.com.ar/MLA-2073590619-venta-departamento-4-ambientes-en-barrio-rawson-luminoso-_JM,2026-09-16 21:47:36.885386+00:00,2069
mercadolibre,Agronomía,79000.0,27.0,1,,https://departamento.mercadolibre.com.ar/MLA-2073590591-venta-departamento-monoambiente-con-balcon-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2926
mercadolibre,Agronomía,82000.0,38.0,2,,https://departamento.mercadolibre.com.ar/MLA-2055162297-departamento-2-ambientes-agronomia-avda-nazca-3575-piso-1ero-_JM,2026-09-16 21:47:36.885386+00:00,2158
mercadolibre,Agronomía,95000.0,60.0,3,,https://departamento.mercadolibre.com.ar/MLA-3723516292-venta-departamento-2-dormitorios-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1583
mercadolibre,Agronomía,149000.0,52.0,3,,https://departamento.mercadolibre.com.ar/MLA-1893017135-tres-ambientes-a-la-venta-en-el-barrio-de-agronomia-muy-luminoso-con-cochera-_JM,2026-09-16 21:47:36.885386+00:00,2865
mercadolibre,Agronomía,269000.0,128.0,4,,https://departamento.mercadolibre.com.ar/MLA-3832899538-venta-a-estrenar-el-mejor-edificio-del-barrio-calidad-y-amenities--_JM,2026-09-16 21:47:36.885386+00:00,2102
mercadolibre,Agronomía,129000.0,49.0,2,,https://departamento.mercadolibre.com.ar/MLA-3899677622-departamento-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2633
mercadolibre,Agronomía,90000.0,45.0,2,,https://departamento.mercadolibre.com.ar/MLA-3250892736-venta-departamento-1-dormitorio-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2000
mercadolibre,Agronomía,75000.0,31.0,2,,https://departamento.mercadolibre.com.ar/MLA-1944457129-agronomia-luminoso-y-funcional-departamento-2-amb-con-patio-_JM,2026-09-16 21:47:36.885386+00:00,2419
mercadolibre,Agronomía,93300.0,36.0,2,,https://departamento.mercadolibre.com.ar/MLA-1973405893-departamento-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2592
mercadolibre,Agronomía,87300.0,36.0,2,,https://departamento.mercadolibre.com.ar/MLA-1973634911-departamento-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2425
mercadolibre,Agronomía,91300.0,36.0,2,,https://departamento.mercadolibre.com.ar/MLA-3765099698-departamento-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,2536
mercadolibre,Agronomía,85500.0,37.0,1,,https://departamento.mercadolibre.com.ar/MLA-1803964937-monoambiente-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,2311
mercadolibre,Agronomía,76500.0,34.0,1,,https://departamento.mercadolibre.com.ar/MLA-1803976379-monoambiente-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,2250
mercadolibre,Agronomía,65000.0,32.0,1,,https://departamento.mercadolibre.com.ar/MLA-2072917855-monoambiente-aire-y-luz-apto-profesional-_JM,2026-09-16 21:47:36.885386+00:00,2031
mercadolibre,Agronomía,252000.0,89.0,3,,https://departamento.mercadolibre.com.ar/MLA-3881147788-duplex-con-jardin-patio-y-parrilla-impecable-depto-listo-para-vivir-mucha-luz-aire-libre-parrilla-_JM,2026-09-16 21:47:36.885386+00:00,2831
mercadolibre,Almagro,78000.0,36.0,2,,https://departamento.mercadolibre.com.ar/MLA-3927934842-venta-departamento-de-2-ambientes-luminoso-al-contrafrente-en-barrio-norte-palermo-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2167
mercadolibre,Almagro,85000.0,32.0,1,,https://departamento.mercadolibre.com.ar/MLA-3923766318-venta-monoambiente-en-palermo-_JM,2026-09-17 13:44:43.464233+00:00,2656
mercadolibre,Almagro,75000.0,45.0,2,,https://departamento.mercadolibre.com.ar/MLA-3065576840-venta-departamento-ph-almagro-norte-palermo-apto-credito-_JM,2026-09-17 13:44:43.464233+00:00,1667
mercadolibre,Almagro,89000.0,30.0,1,,https://departamento.mercadolibre.com.ar/MLA-2058105017-venta-de-luminoso-monoambiente-divisible-c-full-amenities-almagro-capital-federal-_JM,2026-09-17 13:44:43.464233+00:00,2967
mercadolibre,Almagro,79000.0,29.0,1,,https://departamento.mercadolibre.com.ar/MLA-2025165639-departamento-monoambiente-en-venta-balcon-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2724
mercadolibre,Almagro,78300.0,26.0,1,,https://departamento.mercadolibre.com.ar/MLA-3867392310-venta-departamento-de-1-ambiente-apto-credito-abasto-_JM,2026-09-17 13:44:43.464233+00:00,3012
mercadolibre,Almagro,89000.0,31.0,1,,https://departamento.mercadolibre.com.ar/MLA-3912419400-venta-depto-1-amb-en-almagro-a-estrenar-amenities-_JM,2026-09-17 13:44:43.464233+00:00,2871
mercadolibre,Almagro,78000.0,26.0,1,,https://departamento.mercadolibre.com.ar/MLA-2038457815-venta-departamento-de-1-ambiente-apto-credito-abasto-_JM,2026-09-17 13:44:43.464233+00:00,3000
